Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
llama-ncn-pubmed,15.99 ± 12.75,34.28 ± 7.86,59.43 ± 2.28,75.33 ± 4.78,90.05 ± 1.66,96.30 ± 0.62,30.73 ± 10.11,15.99 ± 12.75,34.28 ± 7.86,59.43 ± 2.28,75.33 ± 4.78,90.05 ± 1.66,96.30 ± 0.62,99.11 ± 0.07,98.98 ± 0.14,95.86 ± 0.35

llama-buddy-pubmed,8.93 ± 7.21,25.53 ± 9.20,62.59 ± 2.75,73.65 ± 5.79,88.10 ± 2.08,94.60 ± 0.98,24.57 ± 3.66,8.93 ± 7.21,25.53 ± 9.20,62.59 ± 2.75,73.65 ± 5.79,88.10 ± 2.08,94.60 ± 0.98,98.75 ± 0.18,98.62 ± 0.16,91.39 ± 3.22
minilm-buddy-pubmed,12.44 ± 4.52,23.93 ± 6.43,53.76 ± 6.96,69.11 ± 3.54,85.98 ± 1.19,93.56 ± 0.66,25.45 ± 4.86,12.44 ± 4.52,23.93 ± 6.43,53.76 ± 6.96,69.11 ± 3.54,85.98 ± 1.19,93.56 ± 0.66,98.68 ± 0.07,98.53 ± 0.09,73.38 ± 11.12
e5-buddy-pubmed,7.85 ± 8.21,28.84 ± 3.86,53.12 ± 2.23,70.09 ± 2.25,88.07 ± 0.57,93.95 ± 0.34,22.90 ± 5.86,7.85 ± 8.21,28.84 ± 3.86,53.12 ± 2.23,70.09 ± 2.25,88.07 ± 0.57,93.95 ± 0.34,98.72 ± 0.06,98.56 ± 0.11,91.99 ± 4.86
bert-buddy-pubmed,4.34 ± 4.43,15.84 ± 8.51,29.98 ± 3.54,41.59 ± 7.56,62.03 ± 3.16,78.54 ± 1.26,13.15 ± 2.84,4.34 ± 4.43,15.84 ± 8.51,29.98 ± 3.54,41.59 ± 7.56,62.03 ± 3.16,78.54 ± 1.26,96.25 ± 0.17,95.75 ± 0.18,85.22 ± 3.49

llama-hlgnn-pubmed,32.47 ± 8.02,44.46 ± 5.56,72.19 ± 3.96,81.79 ± 1.66,92.89 ± 1.96,97.05 ± 0.97,36.42 ± 9.03,19.48 ± 8.70,45.81 ± 11.51,65.92 ± 12.28,75.41 ± 10.50,88.22 ± 9.31,93.95 ± 7.34,99.30 ± 0.94,99.24 ± 1.05,93.00 ± 2.60
bert-hlgnn-pubmed,2.22 ± 0.15,2.99 ± 0.92,8.13 ± 1.18,16.80 ± 2.12,26.33 ± 2.52,38.86 ± 3.45,4.69 ± 0.70,2.17 ± 0.38,3.83 ± 0.95,8.73 ± 1.54,14.44 ± 2.22,23.89 ± 3.00,35.66 ± 3.93,91.74 ± 3.28,90.48 ± 2.82,52.24 ± 5.46
e5-hlgnn-pubmed,6.33 ± 2.29,21.15 ± 6.14,33.29 ± 6.54,54.00 ± 14.70,72.84 ± 9.25,86.82 ± 5.80,19.12 ± 7.67,11.49 ± 6.30,19.69 ± 8.04,32.43 ± 9.63,49.30 ± 16.30,65.62 ± 16.05,76.25 ± 13.65,97.63 ± 1.28,97.38 ± 1.59,88.42 ± 11.92
minilm-hlgnn-pubmed,7.65 ± 4.93,25.82 ± 4.76,40.68 ± 3.29,59.77 ± 8.22,79.94 ± 3.82,91.21 ± 2.28,19.81 ± 5.18,8.87 ± 3.71,22.84 ± 7.60,39.63 ± 9.05,56.40 ± 12.50,73.88 ± 11.13,84.09 ± 8.55,98.26 ± 1.59,98.15 ± 1.53,91.90 ± 6.1

bert-neognn-pubmed,24.33 ± 4.55,38.43 ± 4.15,53.37 ± 2.89,59.66 ± 0.89,64.10 ± 1.50,70.85 ± 1.71,33.01 ± 2.63,24.33 ± 4.55,38.43 ± 4.15,53.37 ± 2.89,59.66 ± 0.89,64.10 ± 1.50,70.85 ± 1.71,95.08 ± 0.38,95.21 ± 0.37,77.90 ± 1.96
e5-neognn-pubmed,22.71 ± 11.19,38.94 ± 2.89,53.27 ± 3.04,58.08 ± 1.25,64.74 ± 2.03,71.13 ± 2.19,32.65 ± 5.49,22.71 ± 11.19,38.94 ± 2.89,53.27 ± 3.04,58.08 ± 1.25,64.74 ± 2.03,71.13 ± 2.19,92.21 ± 5.85,92.56 ± 5.28,78.66 ± 1.71
minilm-neognn-pubmed,24.50 ± 8.66,39.27 ± 2.89,51.18 ± 2.91,58.22 ± 2.06,65.13 ± 0.26,70.62 ± 1.25,33.89 ± 6.18,24.50 ± 8.66,39.27 ± 2.89,51.18 ± 2.91,58.22 ± 2.06,65.13 ± 0.26,70.62 ± 1.25,95.01 ± 0.22,95.14 ± 0.31,80.11 ± 1.57
llama-neognn-pubmed,23.92 ± 9.90,39.23 ± 3.76,53.46 ± 1.40,60.51 ± 2.01,64.00 ± 0.87,69.42 ± 3.09,33.82 ± 3.81,23.92 ± 9.90,39.23 ± 3.76,53.46 ± 1.40,60.51 ± 2.01,64.00 ± 0.87,69.42 ± 3.09,94.90 ± 0.52,95.18 ± 0.42,77.75 ± 1.00
