Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
minilm-pubmed-origin_euclidean,0.27 ± 0.06,8.94 ± 3.57,15.55 ± 4.75,36.87 ± 1.06,57.05 ± 0.29,73.05 ± 0.09,8.33 ± 0.35,0.27 ± 0.06,8.94 ± 3.57,15.55 ± 4.75,36.87 ± 1.06,57.05 ± 0.29,73.05 ± 0.09,94.94 ± 0.00,94.35 ± 0.03,88.43 ± 0.04
bert-pubmed-origin_euclidean,1.11 ± 0.68,2.68 ± 0.68,7.33 ± 2.37,12.29 ± 1.99,24.59 ± 1.67,37.60 ± 1.10,3.62 ± 0.45,1.11 ± 0.68,2.68 ± 0.68,7.33 ± 2.37,12.29 ± 1.99,24.59 ± 1.67,37.60 ± 1.10,87.01 ± 0.22,85.30 ± 0.47,79.06 ± 0.50
e5-large-pubmed-origin_euclidean,10.84 ± 5.55,22.85 ± 3.26,40.90 ± 1.27,51.01 ± 0.47,66.76 ± 0.88,76.87 ± 0.21,21.88 ± 0.57,10.84 ± 5.55,22.85 ± 3.26,40.90 ± 1.27,51.01 ± 0.47,66.76 ± 0.88,76.87 ± 0.21,95.75 ± 0.04,95.80 ± 0.02,89.01 ± 0.17
llama-pubmed-origin_euclidean,0.75 ± 0.56,7.45 ± 4.93,20.34 ± 3.20,39.39 ± 4.38,63.30 ± 1.34,77.24 ± 1.20,8.06 ± 0.85,0.75 ± 0.56,7.45 ± 4.93,20.34 ± 3.20,39.39 ± 4.38,63.30 ± 1.34,77.24 ± 1.20,96.25 ± 0.11,95.50 ± 0.21,90.06 ± 0.12
minilm-pubmed-origin_concat,7.82 ± 1.41,14.44 ± 4.79,28.61 ± 1.66,40.66 ± 0.78,58.54 ± 1.90,74.77 ± 1.29,15.86 ± 1.06,7.82 ± 1.41,14.44 ± 4.79,28.61 ± 1.66,40.66 ± 0.78,58.54 ± 1.90,74.77 ± 1.29,95.75 ± 0.12,95.35 ± 0.15,89.46 ± 0.15
bert-pubmed-origin_concat,1.21 ± 0.66,1.92 ± 0.70,9.91 ± 1.10,17.91 ± 1.27,30.46 ± 1.89,43.39 ± 1.76,4.22 ± 0.28,1.21 ± 0.66,1.92 ± 0.70,9.91 ± 1.10,17.91 ± 1.27,30.46 ± 1.89,43.39 ± 1.76,88.27 ± 0.23,87.02 ± 0.19,80.29 ± 0.40
e5-large-pubmed-origin_concat,5.95 ± 1.19,9.03 ± 4.27,16.25 ± 3.78,25.71 ± 3.17,37.34 ± 3.92,57.50 ± 3.18,10.89 ± 1.44,5.95 ± 1.19,9.03 ± 4.27,16.25 ± 3.78,25.71 ± 3.17,37.34 ± 3.92,57.50 ± 3.18,93.24 ± 0.91,92.23 ± 0.84,85.64 ± 1.50
llama-pubmed-origin_concat,10.97 ± 7.09,16.56 ± 6.11,38.23 ± 5.92,52.41 ± 1.92,75.96 ± 1.49,88.97 ± 1.20,21.70 ± 3.42,10.97 ± 7.09,17.17 ± 5.93,38.23 ± 5.92,52.41 ± 1.92,75.96 ± 1.49,88.97 ± 1.20,97.98 ± 0.15,97.60 ± 0.23,93.36 ± 0.43
minilm-pubmed-origin_cross,1.22 ± 0.83,2.48 ± 0.86,4.87 ± 0.46,7.30 ± 1.21,13.77 ± 0.87,22.70 ± 0.70,2.94 ± 0.71,1.22 ± 0.83,2.48 ± 0.86,4.89 ± 0.46,7.30 ± 1.21,13.77 ± 0.87,22.70 ± 0.70,71.34 ± 0.24,72.19 ± 0.43,65.97 ± 0.29
bert-pubmed-origin_cross,0.16 ± 0.12,2.28 ± 0.27,6.32 ± 0.94,11.12 ± 0.76,20.07 ± 0.31,28.40 ± 1.04,2.51 ± 0.15,0.16 ± 0.12,2.28 ± 0.27,6.32 ± 0.94,11.12 ± 0.76,20.07 ± 0.31,28.40 ± 1.04,77.84 ± 0.24,77.59 ± 0.19,70.16 ± 0.32
e5-large-pubmed-origin_cross,0.98 ± 0.39,2.71 ± 0.78,8.10 ± 2.40,14.54 ± 2.01,24.02 ± 2.03,36.48 ± 2.60,4.06 ± 0.33,0.98 ± 0.39,2.71 ± 0.78,8.10 ± 2.40,14.54 ± 2.01,24.02 ± 2.03,36.48 ± 2.60,85.55 ± 0.85,84.29 ± 0.68,77.26 ± 0.75
llama-pubmed-origin_cross,8.22 ± 4.28,12.42 ± 4.45,29.90 ± 1.54,40.67 ± 2.97,55.62 ± 2.00,70.58 ± 0.92,14.34 ± 4.06,8.22 ± 4.28,12.42 ± 4.45,29.90 ± 1.54,40.67 ± 2.97,55.62 ± 2.00,70.58 ± 0.92,94.38 ± 0.12,94.13 ± 0.16,86.68 ± 0.19
Best,20.89,45.45,77.27,90.91,100.0,100.0,31.44,20.89,45.45,77.27,90.91,100.0,100.0,98.66,98.49,94.72
