Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
seperated_cora_run4_originalconcat2000_1,8.86 ± 3.83,15.57 ± 3.60,35.57 ± 1.91,47.45 ± 0.67,66.05 ± 1.61,83.61 ± 0.33,19.13 ± 1.82,8.86 ± 3.83,15.57 ± 3.60,35.57 ± 1.91,47.45 ± 0.67,66.05 ± 1.61,83.61 ± 0.33,82.97 ± 0.24,83.30 ± 0.30,NaN
seperated_cora_run4_originalconcat2000_1,5.98 ± 1.46,14.76 ± 2.76,33.58 ± 2.07,45.76 ± 2.96,70.78 ± 0.66,87.16 ± 0.48,14.18 ± 0.94,5.98 ± 1.46,14.76 ± 2.76,33.58 ± 2.07,45.76 ± 2.96,70.78 ± 0.66,87.16 ± 0.48,84.10 ± 0.16,83.71 ± 0.32,NaN
seperated_cora_run4_originaleuclidean2000_1,9.30 ± 2.31,20.74 ± 5.08,41.48 ± 2.52,51.74 ± 1.21,71.73 ± 1.24,86.20 ± 0.93,18.35 ± 1.26,9.30 ± 2.31,20.74 ± 5.08,41.48 ± 2.52,51.74 ± 1.21,71.73 ± 1.24,86.20 ± 0.93,84.86 ± 0.36,85.49 ± 0.38,NaN
seperated_cora_run4_originaleuclidean2000_1,9.15 ± 1.23,17.64 ± 2.49,43.25 ± 2.70,56.09 ± 1.14,71.88 ± 1.09,86.27 ± 0.75,18.12 ± 1.26,9.15 ± 1.23,17.64 ± 2.49,43.25 ± 2.70,56.09 ± 1.14,71.88 ± 1.09,86.27 ± 0.75,85.87 ± 0.18,86.48 ± 0.26,NaN
seperated_cora_run4_w2vdot2000_1,1.55 ± 0.17,9.01 ± 0.42,12.77 ± 0.89,15.57 ± 1.12,25.39 ± 0.66,33.95 ± 0.69,8.22 ± 0.34,1.55 ± 0.17,9.01 ± 0.42,12.77 ± 0.89,15.57 ± 1.12,25.39 ± 0.66,43.54 ± 0.69,55.12 ± 0.27,59.25 ± 0.19,NaN
seperated_cora_run4_w2vconcat2000_1,4.73 ± 0.48,8.05 ± 0.76,12.33 ± 1.27,18.82 ± 2.65,31.88 ± 1.72,47.60 ± 1.81,8.01 ± 0.33,4.73 ± 0.48,8.05 ± 0.76,12.33 ± 1.27,18.82 ± 2.65,31.88 ± 1.72,47.60 ± 1.81,60.33 ± 0.54,63.23 ± 0.65,NaN
seperated_cora_run4_w2veuclidean2000_1,0.52 ± 0.56,2.88 ± 1.02,7.09 ± 1.12,13.21 ± 1.98,26.05 ± 1.16,45.09 ± 2.21,4.24 ± 0.30,0.52 ± 0.56,2.88 ± 1.02,7.09 ± 1.12,13.21 ± 1.98,26.05 ± 1.16,45.09 ± 2.21,56.12 ± 0.81,57.48 ± 0.40,NaN
combined_cora_run4_w2v_nodecoder_200_1,2.80 ± 0.33,3.69 ± 0.26,7.53 ± 0.93,14.46 ± 1.03,23.54 ± 1.51,42.73 ± 2.05,5.20 ± 0.26,2.80 ± 0.33,3.69 ± 0.26,7.53 ± 0.93,14.46 ± 1.03,23.54 ± 1.51,42.80 ± 2.17,56.04 ± 0.93,57.70 ± 0.33,NaN
seperated_cora_run4_w2vdot100_1,0.38 ± 0.00,2.51 ± 0.34,6.31 ± 0.79,9.13 ± 1.14,23.19 ± 0.38,42.44 ± 0.21,3.26 ± 0.09,0.38 ± 0.00,2.51 ± 0.34,6.31 ± 0.79,9.13 ± 1.14,23.19 ± 0.38,42.44 ± 0.21,52.91 ± 0.12,54.44 ± 0.26,NaN
combined_cora_run4_w2v_nodecoder_200_1,2.77 ± 0.00,5.69 ± 0.35,12.81 ± 1.74,17.87 ± 0.98,31.15 ± 0.95,34.39 ± 4.39,6.19 ± 0.26,2.77 ± 0.00,5.69 ± 0.35,12.81 ± 1.74,17.87 ± 0.98,31.15 ± 0.95,38.10 ± 6.65,53.00 ± 0.16,57.05 ± 0.30,NaN
combined_cora_run4_w2v_nodecoder_200_1,5.77 ± 0.22,6.56 ± 0.22,11.78 ± 1.20,16.36 ± 1.71,31.30 ± 1.69,45.69 ± 1.18,8.25 ± 0.12,5.77 ± 0.22,6.56 ± 0.22,11.78 ± 1.20,16.36 ± 1.71,31.30 ± 1.69,45.69 ± 1.18,59.72 ± 0.31,61.39 ± 0.42,NaN
combined_cora_run4_w2v_nodecoder_2000_1,3.56 ± 0.56,6.88 ± 1.24,15.89 ± 0.81,20.47 ± 0.86,33.12 ± 1.13,49.17 ± 2.10,7.53 ± 0.51,3.56 ± 0.56,6.88 ± 1.24,15.89 ± 0.81,20.47 ± 0.86,33.12 ± 1.13,49.17 ± 2.10,57.22 ± 1.44,62.77 ± 0.62,NaN
combined_cora_run4_w2v_nodecoder_2000_1,4.03 ± 0.18,9.65 ± 0.82,18.50 ± 0.94,23.95 ± 1.33,38.34 ± 0.79,58.58 ± 1.88,9.66 ± 0.26,4.03 ± 0.18,9.65 ± 0.82,18.50 ± 0.94,23.95 ± 1.33,38.34 ± 0.79,59.29 ± 2.29,64.39 ± 0.86,66.94 ± 0.60,NaN
combined_cora_run4_w2v_nodecoder_2000_1,5.46 ± 2.49,8.46 ± 0.72,12.41 ± 1.49,16.76 ± 1.24,28.06 ± 2.07,46.96 ± 0.90,8.56 ± 1.02,5.46 ± 2.49,8.46 ± 0.72,12.41 ± 1.49,16.76 ± 1.24,28.14 ± 1.92,46.96 ± 0.90,57.65 ± 0.50,60.03 ± 0.23,NaN
combined_cora_run4_w2v_nodecoder_2000_1,4.11 ± 0.60,7.35 ± 1.67,13.04 ± 1.92,24.19 ± 2.92,35.89 ± 1.10,51.54 ± 2.21,7.89 ± 0.54,4.11 ± 0.60,7.35 ± 1.67,13.04 ± 1.92,24.19 ± 2.92,35.89 ± 1.10,51.54 ± 2.21,61.84 ± 0.86,64.07 ± 0.36,NaN
combined_cora_run1_w2v_nodecoder_5_1,0.00 ± 0.00,0.20 ± 0.28,5.93 ± 1.12,11.85 ± 0.56,21.74 ± 3.35,41.10 ± 6.71,2.37 ± 0.29,0.00 ± 0.00,0.20 ± 0.28,5.93 ± 1.12,11.85 ± 0.56,21.74 ± 3.35,41.10 ± 6.71,52.34 ± 3.08,52.51 ± 2.16,NaN
combined_cora_run1_w2v_nodecoder_5_1,1.19 ± 0.56,5.14 ± 3.35,9.89 ± 0.56,13.05 ± 0.56,23.32 ± 1.68,40.90 ± 6.43,5.16 ± 0.92,1.19 ± 0.56,5.14 ± 3.35,9.89 ± 0.56,13.05 ± 0.56,23.32 ± 1.68,40.90 ± 6.43,50.57 ± 3.69,54.61 ± 0.98,NaN
combined_cora_run1_w2v_nodecoder_5_1,5.73 ± 1.40,5.93 ± 0.56,10.87 ± 0.83,13.04 ± 1.12,25.69 ± 2.79,46.83 ± 4.19,7.40 ± 0.69,5.73 ± 1.40,5.93 ± 0.56,10.87 ± 0.83,13.04 ± 1.12,25.69 ± 2.79,46.83 ± 4.19,54.70 ± 0.86,58.41 ± 0.75,NaN
combined_cora_run1_w2v_nodecoder_5_1,0.05 ± 0.00,0.34 ± 0.10,2.39 ± 0.19,4.18 ± 0.16,6.76 ± 0.06,10.88 ± 0.45,0.94 ± 0.01,0.05 ± 0.00,0.34 ± 0.10,2.39 ± 0.19,4.18 ± 0.16,6.76 ± 0.06,10.88 ± 0.45,57.11 ± 0.20,58.40 ± 0.15,NaN
Best,34.98,36.9,46.05,61.92,72.91,87.16,38.94,34.98,36.9,46.05,61.92,72.91,87.16,85.87,87.37
