Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
minilm-arxiv_2023-origin_concat,3.59 ± 1.11,7.08 ± 1.09,19.26 ± 0.96,23.53 ± 0.78,31.08 ± 0.91,38.19 ± 0.86,7.36 ± 0.29,3.59 ± 1.11,7.08 ± 1.09,19.26 ± 0.96,23.53 ± 0.78,31.08 ± 0.91,38.19 ± 0.86,74.99 ± 0.34,78.45 ± 0.19,68.88 ± 0.56
bert-arxiv_2023-origin_concat,9.42 ± 1.28,10.60 ± 0.93,13.86 ± 1.32,17.49 ± 0.56,22.59 ± 0.70,27.83 ± 0.47,11.21 ± 0.91,9.42 ± 1.28,10.60 ± 0.93,13.86 ± 1.32,17.49 ± 0.56,22.59 ± 0.70,27.83 ± 0.47,66.26 ± 0.58,70.85 ± 0.50,61.90 ± 0.34
e5-large-arxiv_2023-origin_concat,14.37 ± 1.75,17.97 ± 2.07,24.41 ± 2.71,32.22 ± 1.35,48.03 ± 2.06,60.23 ± 1.11,18.99 ± 0.97,14.37 ± 1.75,17.97 ± 2.07,24.41 ± 2.71,32.22 ± 1.35,48.03 ± 2.06,60.23 ± 1.11,88.32 ± 0.99,89.22 ± 0.74,79.82 ± 0.69
llama-arxiv_2023-origin_concat,6.88 ± 2.67,10.69 ± 2.10,18.49 ± 0.72,22.29 ± 0.96,29.50 ± 1.02,37.22 ± 0.78,10.09 ± 1.77,6.88 ± 2.67,10.69 ± 2.10,17.88 ± 1.55,21.72 ± 0.89,29.50 ± 1.02,37.22 ± 0.78,75.05 ± 0.71,78.22 ± 0.43,68.76 ± 0.32
e5-large-arxiv_2023-origin_euclidean,18.59 ± 3.43,28.95 ± 2.05,39.73 ± 1.87,48.38 ± 2.07,67.06 ± 0.75,76.52 ± 0.47,25.44 ± 1.50,18.59 ± 3.43,28.95 ± 2.05,39.73 ± 1.87,48.38 ± 2.07,67.06 ± 0.75,76.52 ± 0.47,94.69 ± 0.01,94.93 ± 0.01,87.51 ± 0.10
llama-arxiv_2023-origin_euclidean,4.37 ± 0.85,7.14 ± 1.27,10.11 ± 0.95,13.47 ± 0.63,20.27 ± 0.27,26.13 ± 0.86,6.71 ± 0.61,4.37 ± 0.85,7.14 ± 1.27,9.65 ± 0.54,12.24 ± 0.84,20.27 ± 0.27,26.13 ± 0.86,66.74 ± 0.15,70.28 ± 0.25,62.24 ± 0.20
arxiv_2023_rundilv52k9_SAGE_Variant,4.83 ± 3.86,12.37 ± 2.05,24.35 ± 2.97,32.04 ± 1.90,45.42 ± 3.12,56.69 ± 3.13,11.52 ± 1.67,4.83 ± 3.86,12.37 ± 2.05,24.35 ± 2.97,32.04 ± 1.90,45.42 ± 3.12,56.69 ± 3.13,87.86 ± 1.97,88.25 ± 1.41,78.46 ± 1.31
arxiv_2023_runs6ovgo52_GCN_Variant,7.89 ± 4.00,19.69 ± 2.65,28.92 ± 2.35,36.89 ± 1.57,45.07 ± 0.87,52.46 ± 1.44,17.62 ± 3.34,7.89 ± 4.00,19.69 ± 2.65,28.92 ± 2.35,36.89 ± 1.57,45.07 ± 0.87,52.46 ± 1.44,81.89 ± 0.51,84.01 ± 0.14,74.31 ± 0.55
arxiv_2023_runeerjazyi_GIN_Variant,7.68 ± 7.21,18.48 ± 3.01,30.49 ± 1.08,36.87 ± 1.74,45.35 ± 2.58,53.22 ± 2.05,14.79 ± 4.53,7.68 ± 7.21,19.40 ± 2.97,29.38 ± 2.55,36.10 ± 1.82,45.35 ± 2.58,53.22 ± 2.05,78.93 ± 0.49,83.73 ± 0.39,72.12 ± 1.07
arxiv_2023_run6sdi1j53_GAT_Variant,7.40 ± 3.85,14.89 ± 7.59,22.47 ± 5.36,30.03 ± 4.67,43.09 ± 1.22,53.49 ± 1.06,13.58 ± 4.33,7.40 ± 3.85,14.89 ± 7.59,22.47 ± 5.36,30.03 ± 4.67,43.09 ± 1.22,53.49 ± 1.06,82.86 ± 1.02,85.40 ± 0.65,81.70 ± 9.55


